bed,lat,lng
1,-37.7029,145.0559
2,-37.7029,145.0559
1,-37.7086,144.9295
1,-37.7125,145.0022
2,-37.7125,145.0022
1,-37.727,144.9063
1,-37.7373,144.9658
1,-37.7412,145.0067
2,-37.7487,145.0779
1,-37.7495,144.7405
1,-37.7515,144.9035
1,-37.7635,144.9442
1,-37.7653,144.9199
1,-37.7669,144.9605
1,-37.7686,144.978
1,-37.7721,145.0008
1,-37.7727,144.8987
1,-37.7742,145.1705
2,-37.7829,145.1221
1,-37.7849,144.9866
2,-37.7855,144.9682
1,-37.7913,144.9198
1,-37.7969,144.9437
1,-37.8,144.9693
1,-37.8008,144.8959
1,-37.801,144.9791
1,-37.8014,145.0411
2,-37.8014,145.0411
1,-37.8019,144.9882
2,-37.8098,145.0806
3,-37.8098,145.0806
1,-37.8108,144.9204
2,-37.8108,144.9204
1,-37.8111,144.9646
1,-37.8155,144.9827
2,-37.8176,144.9381
1,-37.818,144.8827
1,-37.8222,145.0025
1,-37.823,145.1517
1,-37.8236,145.1
2,-37.8236,145.1
1,-37.8253,144.9593
2,-37.8253,144.9593
1,-37.8286,145.0344
2,-37.8293,145.1246
1,-37.8321,145.0498
1,-37.8337,144.9605
2,-37.8347,144.9233
1,-37.8353,144.974
1,-37.8382,144.9915
1,-37.8409,145.0181
1,-37.8464,144.9603
1,-37.8486,145.1145
3,-37.8486,145.1145
1,-37.8525,144.9966
2,-37.8525,144.9966
3,-37.8552,145.0348
1,-37.8563,145.0678
2,-37.8576,145.0197
1,-37.8639,144.9811
1,-37.868,145
2,-37.871,145.0219
2,-37.8779,145.0632
1,-37.8808,144.9855
1,-37.887,145.0072
2,-37.8914,145.0256
2,-37.8922,145.1724
1,-37.8947,145.0566
3,-37.9002,145.1
2,-37.9079,144.9969
1,-37.916,145.0375
1,-37.9369,144.6705
3,-37.9375,145.0169
2,-37.9505,145.0399
3,-37.9505,145.0399
2,-37.9538,145.0144
2,-37.9617,145.0564
