no,name,bed1,zipcode,year,occupation_rate
0,Abbotsford,bed1,3067,2019,0.7093711725
1,Abbotsford,bed2,3067,2019,0.704706212752994
1,Abbotsford,bed3,3067,2019,0
2,Aberfeldie,bed1,3040,2019,0.710603195
3,Aberfeldie,bed2,3040,2019,0.7331511839708561
4,Aberfeldie,bed3,3040,2019,0.00273224043715847
5,Airport West,bed1,3042,2019,0.68579235
6,Airport West,bed2,3042,2019,0.8333333333333334
6,Airport West,bed3,3042,2019,0
7,Albert Park,bed1,3206,2019,0.6779234975
8,Albert Park,bed2,3206,2019,0.5069823922282939
9,Albert Park,bed3,3206,2019,0.29508196721311475
10,Altona,bed1,3018,2019,0.39890710349999997
11,Altona,bed2,3018,2019,0.3142076502732241
11,Altona,bed3,3018,2019,0
12,Altona Meadows,bed1,3028,2019,0.46448087400000004
13,Altona Meadows,bed2,3028,2019,0.7978142076502732
13,Altona Meadows,bed3,3028,2019,0
14,Armadale,bed1,3143,2019,0.7010075135
15,Armadale,bed2,3143,2019,0.6545765027322404
16,Armadale,bed3,3143,2019,0.47745901639344257
17,Ascot Vale,bed1,3032,2019,0.6518816460000001
18,Ascot Vale,bed2,3032,2019,0.6036462399167317
19,Ascot Vale,bed3,3032,2019,0.2404371584699453
20,Ashburton,bed1,3147,2019,0.5095628415
20,Ashburton,bed2,3147,2019,0
20,Ashburton,bed3,3147,2019,0
21,Balaclava,bed1,3183,2019,0.6751628700000001
22,Balaclava,bed2,3183,2019,0.6494323011536127
23,Balaclava,bed3,3183,2019,0.7197176684881603
24,Balwyn,bed1,3103,2019,0.5416666665000001
25,Balwyn,bed2,3103,2019,0.12213114754098359
26,Balwyn,bed3,3103,2019,0.46174863387978143
27,Balwyn North,bed1,3104,2019,0.66575592
28,Balwyn North,bed2,3104,2019,0.5
28,Balwyn North,bed3,3104,2019,0
29,Beaumaris,bed1,3193,2019,0.74863388
30,Beaumaris,bed2,3193,2019,0.3770491803278689
30,Beaumaris,bed3,3193,2019,0
31,Bentleigh,bed1,3204,2019,0.6100295995
32,Bentleigh,bed2,3204,2019,0.43306010928961747
33,Bentleigh,bed3,3204,2019,0.5573770491803278
34,Bentleigh East,bed1,3165,2019,0.7336065575
35,Bentleigh East,bed2,3165,2019,0.4890710382513661
35,Bentleigh East,bed3,3165,2019,0
36,Black Rock,bed1,3193,2019,0.74863388
37,Black Rock,bed2,3193,2019,0.3770491803278689
37,Black Rock,bed3,3193,2019,0
38,Braybrook,bed1,3019,2019,0.121584699
39,Braybrook,bed2,3019,2019,0.185792349726776
39,Braybrook,bed3,3019,2019,0
40,Brighton,bed1,3186,2019,0.618486534
41,Brighton,bed2,3186,2019,0.47696569520340015
42,Brighton,bed3,3186,2019,0.5006830601092896
43,Brighton East,bed1,3187,2019,0.4849726775
44,Brighton East,bed2,3187,2019,0.6653005464480874
44,Brighton East,bed3,3187,2019,0
45,Brunswick,bed1,3056,2019,0.7378838350000001
46,Brunswick,bed2,3056,2019,0.5241030636925558
47,Brunswick,bed3,3056,2019,0.1448087431693989
48,Brunswick East,bed1,3057,2019,0.7800546445000001
49,Brunswick East,bed2,3057,2019,0.7945658773527625
50,Brunswick East,bed3,3057,2019,0.6876138433515483
51,Brunswick West,bed1,3055,2019,0.6780203515
52,Brunswick West,bed2,3055,2019,0.798155737704918
53,Brunswick West,bed3,3055,2019,0.9016393442622951
54,Burnley,bed1,3121,2019,0.6960488069999999
55,Burnley,bed2,3121,2019,0.7161945163455086
56,Burnley,bed3,3121,2019,0.3711293260473588
57,Camberwell,bed1,3124,2019,0.5344457455
58,Camberwell,bed2,3124,2019,0.353483606557377
58,Camberwell,bed3,3124,2019,0
59,Canterbury,bed1,3126,2019,0.9959016395
60,Canterbury,bed2,3126,2019,0.18237704918032788
60,Canterbury,bed3,3126,2019,0
61,Carlton,bed1,3053,2019,0.7374198315
62,Carlton,bed2,3053,2019,0.7124715391621129
63,Carlton,bed3,3053,2019,0.6609744990892532
64,Carlton North,bed1,3054,2019,0.7492410439999999
65,Carlton North,bed2,3054,2019,0.6733996877439501
66,Carlton North,bed3,3054,2019,0.6707650273224044
67,Carnegie,bed1,3163,2019,0.7318144424999999
68,Carnegie,bed2,3163,2019,0.484534818551212
69,Carnegie,bed3,3163,2019,0.36475409836065575
70,Caulfield,bed1,3162,2019,0.7119654785
71,Caulfield,bed2,3162,2019,0.22569444444444442
72,Caulfield,bed3,3162,2019,0.7117486338797814
73,Caulfield East,bed1,3145,2019,0.6635298445
74,Caulfield East,bed2,3145,2019,0.5397150663544106
75,Caulfield East,bed3,3145,2019,0.78551912568306
76,Caulfield North,bed1,3161,2019,0.663974606
77,Caulfield North,bed2,3161,2019,0.49395754518705337
78,Caulfield North,bed3,3161,2019,0.00273224043715847
79,Caulfield South,bed1,3162,2019,0.7119654785
80,Caulfield South,bed2,3162,2019,0.22569444444444442
81,Caulfield South,bed3,3162,2019,0.7117486338797814
82,Clifton Hill,bed1,3068,2019,0.7190649175
83,Clifton Hill,bed2,3068,2019,0.6745901639344263
84,Clifton Hill,bed3,3068,2019,0.5300546448087432
85,Coburg,bed1,3058,2019,0.6354166665000001
86,Coburg,bed2,3058,2019,0.7750683060109289
87,Coburg,bed3,3058,2019,0.4562841530054645
88,Coburg North,bed1,3058,2019,0.6354166665000001
89,Coburg North,bed2,3058,2019,0.7750683060109289
90,Coburg North,bed3,3058,2019,0.4562841530054645
91,Collingwood,bed1,3066,2019,0.739044767
92,Collingwood,bed2,3066,2019,0.6433580536039554
93,Collingwood,bed3,3066,2019,0.47267759562841527
94,Cremorne,bed1,3121,2019,0.6960488069999999
95,Cremorne,bed2,3121,2019,0.7161945163455086
96,Cremorne,bed3,3121,2019,0.3711293260473588
97,Deepdene,bed1,3103,2019,0.5416666665000001
98,Deepdene,bed2,3103,2019,0.12213114754098359
99,Deepdene,bed3,3103,2019,0.46174863387978143
100,Docklands,bed1,3008,2019,0.7360300989999999
101,Docklands,bed2,3008,2019,0.6096922412794676
102,Docklands,bed3,3008,2019,0.5161000085503968
103,East Melbourne,bed1,3002,2019,0.6980633135000001
104,East Melbourne,bed2,3002,2019,0.6326047358834244
105,East Melbourne,bed3,3002,2019,0.39305230288836845
106,Elsternwick,bed1,3185,2019,0.5814308845
107,Elsternwick,bed2,3185,2019,0.43153635981504834
108,Elsternwick,bed3,3185,2019,0.40710382513661203
109,Elwood,bed1,3184,2019,0.6408420905000001
110,Elwood,bed2,3184,2019,0.7026677922408002
111,Elwood,bed3,3184,2019,0.5040983606557377
112,Essendon,bed1,3040,2019,0.710603195
113,Essendon,bed2,3040,2019,0.7331511839708561
114,Essendon,bed3,3040,2019,0.00273224043715847
115,Essendon Fields,bed1,3041,2019,0.831967213
116,Essendon Fields,bed2,3041,2019,0.4863387978142077
117,Essendon Fields,bed3,3041,2019,0.4863387978142077
118,Essendon North,bed1,3041,2019,0.831967213
119,Essendon North,bed2,3041,2019,0.4863387978142077
120,Essendon North,bed3,3041,2019,0.4863387978142077
121,Essendon West,bed1,3040,2019,0.710603195
122,Essendon West,bed2,3040,2019,0.7331511839708561
123,Essendon West,bed3,3040,2019,0.00273224043715847
124,Fairfield,bed1,3078,2019,0.70986584
125,Fairfield,bed2,3078,2019,0.8406193078324226
125,Fairfield,bed3,3078,2019,0
126,Fawkner,bed1,3060,2019,0
127,Fawkner,bed2,3060,2019,0
127,Fawkner,bed3,3060,2019,0
128,Fitzroy,bed1,3065,2019,0.647989988
129,Fitzroy,bed2,3065,2019,0.5645369828259172
130,Fitzroy,bed3,3065,2019,0.18260473588342443
131,Fitzroy North,bed1,3068,2019,0.7190649175
132,Fitzroy North,bed2,3068,2019,0.6745901639344263
133,Fitzroy North,bed3,3068,2019,0.5300546448087432
134,Flemington,bed1,3031,2019,0.7169854280000001
135,Flemington,bed2,3031,2019,0.6684674615002484
136,Flemington,bed3,3031,2019,0.5191256830601093
137,Footscray,bed1,3011,2019,0.7773626499999999
138,Footscray,bed2,3011,2019,0.6877504553734062
139,Footscray,bed3,3011,2019,0.00273224043715847
140,Gardenvale,bed1,3185,2019,0.5814308845
141,Gardenvale,bed2,3185,2019,0.43153635981504834
142,Gardenvale,bed3,3185,2019,0.40710382513661203
143,Glen Huntly,bed1,3163,2019,0.7318144424999999
144,Glen Huntly,bed2,3163,2019,0.484534818551212
145,Glen Huntly,bed3,3163,2019,0.36475409836065575
146,Glen Iris,bed1,3146,2019,0.775956284
147,Glen Iris,bed2,3146,2019,0.5493754879000781
148,Glen Iris,bed3,3146,2019,0.73224043715847
149,Glenroy,bed1,3046,2019,0.6178278685
150,Glenroy,bed2,3046,2019,0.51775956284153
151,Glenroy,bed3,3046,2019,0.4248633879781421
152,Gowanbrae,bed1,3043,2019,0.393442623
152,Gowanbrae,bed2,3043,2019,0
152,Gowanbrae,bed3,3043,2019,0
153,Hadfield,bed1,3046,2019,0.6178278685
154,Hadfield,bed2,3046,2019,0.51775956284153
155,Hadfield,bed3,3046,2019,0.4248633879781421
156,Hampton,bed1,3188,2019,0.6217798594999999
157,Hampton,bed2,3188,2019,0.17941712204007285
158,Hampton,bed3,3188,2019,0.4105191256830601
159,Hampton East,bed1,3188,2019,0.6217798594999999
160,Hampton East,bed2,3188,2019,0.17941712204007285
161,Hampton East,bed3,3188,2019,0.4105191256830601
162,Hawthorn,bed1,3122,2019,0.7256303435
163,Hawthorn,bed2,3122,2019,0.7601387549555341
164,Hawthorn,bed3,3122,2019,0.5245901639344263
165,Hawthorn East,bed1,3123,2019,0.6888121945000001
166,Hawthorn East,bed2,3123,2019,0.519808743169399
167,Hawthorn East,bed3,3123,2019,0.44808743169398907
168,Hughesdale,bed1,3166,2019,0.632855191
169,Hughesdale,bed2,3166,2019,0.0621584699453552
170,Hughesdale,bed3,3166,2019,0.7459016393442623
171,Kensington,bed1,3031,2019,0.7169854280000001
172,Kensington,bed2,3031,2019,0.6684674615002484
173,Kensington,bed3,3031,2019,0.5191256830601093
174,Kew,bed1,3101,2019,0.5590973485
175,Kew,bed2,3101,2019,0.5772833723653397
176,Kew,bed3,3101,2019,0.6867030965391621
177,Kew East,bed1,3102,2019,0.7629781419999999
178,Kew East,bed2,3102,2019,1.0
178,Kew East,bed3,3102,2019,0
179,Kingsbury,bed1,3083,2019,0.561930783
180,Kingsbury,bed2,3083,2019,0.20355191256830596
181,Kingsbury,bed3,3083,2019,1.0
182,Kingsville,bed1,3012,2019,0.56328064
183,Kingsville,bed2,3012,2019,0.5342668488160291
183,Kingsville,bed3,3012,2019,0
184,Kooyong,bed1,3144,2019,0.47893898
185,Kooyong,bed2,3144,2019,0.7957650273224044
186,Kooyong,bed3,3144,2019,0.40824225865209474
187,Maidstone,bed1,3012,2019,0.56328064
188,Maidstone,bed2,3012,2019,0.5342668488160291
188,Maidstone,bed3,3012,2019,0
189,Malvern,bed1,3144,2019,0.47893898
190,Malvern,bed2,3144,2019,0.7957650273224044
191,Malvern,bed3,3144,2019,0.40824225865209474
192,Malvern East,bed1,3145,2019,0.6635298445
193,Malvern East,bed2,3145,2019,0.5397150663544106
194,Malvern East,bed3,3145,2019,0.78551912568306
195,Maribyrnong,bed1,3032,2019,0.6518816460000001
196,Maribyrnong,bed2,3032,2019,0.6036462399167317
197,Maribyrnong,bed3,3032,2019,0.2404371584699453
198,McKinnon,bed1,3204,2019,0.6100295995
199,McKinnon,bed2,3204,2019,0.43306010928961747
200,McKinnon,bed3,3204,2019,0.5573770491803278
201,Melbourne (3000),bed1,3000,2019,0.6461839435
202,Melbourne (3000),bed2,3000,2019,0.6113371091105739
203,Melbourne (3000),bed3,3000,2019,0.5673941615175291
204,Melbourne (3004),bed1,3004,2019,0.728165589
205,Melbourne (3004),bed2,3004,2019,0.5765103748710305
206,Melbourne (3004),bed3,3004,2019,0.502959927140255
207,Middle Park,bed1,3206,2019,0.6779234975
208,Middle Park,bed2,3206,2019,0.5069823922282939
209,Middle Park,bed3,3206,2019,0.29508196721311475
210,Moonee Ponds,bed1,3039,2019,0.7796643249999999
211,Moonee Ponds,bed2,3039,2019,0.5392759562841529
212,Moonee Ponds,bed3,3039,2019,0.07103825136612021
213,Murrumbeena,bed1,3163,2019,0.7318144424999999
214,Murrumbeena,bed2,3163,2019,0.484534818551212
215,Murrumbeena,bed3,3163,2019,0.36475409836065575
216,Newport,bed1,3015,2019,0.5915300545
217,Newport,bed2,3015,2019,0.5983606557377049
217,Newport,bed3,3015,2019,0
218,Niddrie,bed1,3042,2019,0.68579235
219,Niddrie,bed2,3042,2019,0.8333333333333334
219,Niddrie,bed3,3042,2019,0
220,North Melbourne,bed1,3051,2019,0.7115991505
221,North Melbourne,bed2,3051,2019,0.7143161254016912
222,North Melbourne,bed3,3051,2019,0.8447176684881603
223,Northcote,bed1,3070,2019,0.7798545565
224,Northcote,bed2,3070,2019,0.8602075638782694
225,Northcote,bed3,3070,2019,0.26229508196721313
226,Oak Park,bed1,3046,2019,0.6178278685
227,Oak Park,bed2,3046,2019,0.51775956284153
228,Oak Park,bed3,3046,2019,0.4248633879781421
229,Ormond,bed1,3204,2019,0.6100295995
230,Ormond,bed2,3204,2019,0.43306010928961747
231,Ormond,bed3,3204,2019,0.5573770491803278
232,Parkville,bed1,3052,2019,0.670094616
233,Parkville,bed2,3052,2019,0.8212374772313297
233,Parkville,bed3,3052,2019,0
234,Pascoe Vale,bed1,3044,2019,0.616575592
234,Pascoe Vale,bed2,3044,2019,0
234,Pascoe Vale,bed3,3044,2019,0

235,Pascoe Vale South,bed1,3044,2019,0.616575592
235,Pascoe Vale South,bed2,3044,2019,0
235,Pascoe Vale South,bed3,3044,2019,0
236,Port Melbourne,bed1,3207,2019,0.5389816045
237,Port Melbourne,bed2,3207,2019,0.5166625269084286
238,Port Melbourne,bed3,3207,2019,0.7483606557377049
239,Prahran,bed1,3181,2019,0.733812853
240,Prahran,bed2,3181,2019,0.7180275325767129
241,Prahran,bed3,3181,2019,0.671448087431694
242,Preston,bed1,3072,2019,0.740724044
243,Preston,bed2,3072,2019,0.7683450429352069
244,Preston,bed3,3072,2019,0.6352459016393442
245,Princes Hill,bed1,3054,2019,0.7492410439999999
246,Princes Hill,bed2,3054,2019,0.6733996877439501
