,month,year,percentage,mm
59,January,2015,0.0,1
58,February,2015,0.0,2
57,March,2015,0.0,3
56,April,2015,0.0,4
55,May,2015,0.0,5
54,June,2015,0.0,6
53,July,2015,0.35389222299999995,7
52,August,2015,0.538055927,8
51,September,2015,0.6330004929999999,9
50,October,2015,0.63363118,10
49,November,2015,0.636821992,11
48,December,2015,0.652617389,12
47,January,2016,0.68849017,1
46,February,2016,0.7075278,2
45,March,2016,0.7323499240000001,3
44,April,2016,0.757519724,4
43,May,2016,0.779192117,5
42,June,2016,0.798539201,6
41,July,2016,0.7543344240000001,7
40,August,2016,0.68305041,8
39,September,2016,0.697316499,9
38,October,2016,0.7123864540000001,10
37,November,2016,0.733429862,11
36,December,2016,0.7666007779999999,12
35,January,2017,0.5881140570000001,1
34,February,2017,0.612016883,2
33,March,2017,0.556252052,3
32,April,2017,0.560862369,4
31,May,2017,0.576341112,5
30,June,2017,0.630270158,6
29,July,2017,0.576636003,7
28,August,2017,0.574943138,8
27,September,2017,0.5838774320000001,9
26,October,2017,0.445095895,10
25,November,2017,0.44379820600000003,11
24,December,2017,0.44340463,12
23,January,2018,0.455378787,1
22,February,2018,0.461604334,2
21,March,2018,0.460840446,3
20,April,2018,0.345839523,4
19,May,2018,0.492054318,5
18,June,2018,0.545323999,6
17,July,2018,0.48368936100000004,7
16,August,2018,0.49065435,8
15,September,2018,0.551141015,9
14,October,2018,0.457285075,10
13,November,2018,0.45124989200000004,11
12,December,2018,0.493183131,12
11,January,2019,0.42612895700000003,1
10,February,2019,0.44030292,2
9,March,2019,0.44901485799999996,3
8,April,2019,0.443418469,4
7,May,2019,0.525671697,5
6,June,2019,0.472015365,6
5,July,2019,0.0,7
4,August,2019,0.0,8
3,September,2019,0.0,9
2,October,2019,0.0,10
1,November,2019,0.0,11
0,December,2019,0.0,12
