year,name,Unnamed: 0,zipcode,id,1,total
2015,Abbotsford,302,3067,25,1,5408
2016,Abbotsford,303,3067,72,1,8633
2017,Abbotsford,304,3067,92,1,14305
2018,Abbotsford,305,3067,210,1,20427
2019,Abbotsford,306,3067,249,1,22909
2020,Abbotsford,307,3067,249,1,22909
2015,Aberfeldie,173,3040,1,1,5408
2016,Aberfeldie,174,3040,15,1,8633
2017,Aberfeldie,175,3040,23,1,14305
2018,Aberfeldie,176,3040,52,1,20427
2019,Aberfeldie,177,3040,57,1,22909
2020,Aberfeldie,178,3040,57,1,22909
2015,Airport West,184,3042,2,1,5408
2016,Airport West,185,3042,6,1,8633
2017,Airport West,186,3042,10,1,14305
2018,Airport West,187,3042,24,1,20427
2019,Airport West,188,3042,28,1,22909
2020,Airport West,189,3042,28,1,22909
2015,Albert Park,970,3206,31,1,5408
2016,Albert Park,971,3206,57,1,8633
2017,Albert Park,972,3206,75,1,14305
2018,Albert Park,973,3206,108,1,20427
2019,Albert Park,974,3206,126,1,22909
2020,Albert Park,975,3206,126,1,22909
2015,Altona,72,3018,2,1,5408
2016,Altona,73,3018,8,1,8633
2017,Altona,74,3018,13,1,14305
2018,Altona,75,3018,28,1,20427
2019,Altona,76,3018,28,1,22909
2020,Altona,77,3018,28,1,22909
2015,Altona Meadows,115,3028,1,1,5408
2016,Altona Meadows,116,3028,7,1,8633
2017,Altona Meadows,117,3028,11,1,14305
2018,Altona Meadows,118,3028,27,1,20427
2019,Altona Meadows,119,3028,40,1,22909
2020,Altona Meadows,120,3028,40,1,22909
2015,Altona North,0,3025,6,1,5408
2016,Altona North,105,3025,6,1,8633
2017,Altona North,106,3025,9,1,14305
2018,Altona North,107,3025,14,1,20427
2019,Altona North,108,3025,16,1,22909
2020,Altona North,109,3025,16,1,22909
2015,Armadale,644,3143,11,1,5408
2016,Armadale,645,3143,26,1,8633
2017,Armadale,646,3143,30,1,14305
2018,Armadale,647,3143,53,1,20427
2019,Armadale,648,3143,64,1,22909
2020,Armadale,649,3143,64,1,22909
2015,Ascot Vale,138,3032,11,1,5408
2016,Ascot Vale,139,3032,46,1,8633
2017,Ascot Vale,140,3032,62,1,14305
2018,Ascot Vale,141,3032,143,1,20427
2019,Ascot Vale,142,3032,176,1,22909
2020,Ascot Vale,143,3032,176,1,22909
2015,Ashburton,668,3147,3,1,5408
2016,Ashburton,669,3147,12,1,8633
2017,Ashburton,670,3147,13,1,14305
2018,Ashburton,671,3147,24,1,20427
2019,Ashburton,672,3147,28,1,22909
2020,Ashburton,673,3147,28,1,22909
2015,Avondale Heights,0,3034,3,1,5408
2016,Avondale Heights,0,3034,3,1,8633
2017,Avondale Heights,0,3034,3,1,14305
2018,Avondale Heights,149,3034,3,1,20427
2019,Avondale Heights,150,3034,4,1,22909
2020,Avondale Heights,151,3034,4,1,22909
2015,Balaclava,846,3183,28,1,5408
2016,Balaclava,847,3183,106,1,8633
2017,Balaclava,848,3183,146,1,14305
2018,Balaclava,849,3183,277,1,20427
2019,Balaclava,850,3183,336,1,22909
2020,Balaclava,851,3183,336,1,22909
2015,Balwyn,448,3103,5,1,5408
2016,Balwyn,449,3103,10,1,8633
2017,Balwyn,450,3103,11,1,14305
2018,Balwyn,451,3103,43,1,20427
2019,Balwyn,452,3103,53,1,22909
2020,Balwyn,453,3103,53,1,22909
2015,Balwyn North,454,3104,6,1,5408
2016,Balwyn North,455,3104,14,1,8633
2017,Balwyn North,456,3104,19,1,14305
2018,Balwyn North,457,3104,28,1,20427
2019,Balwyn North,458,3104,55,1,22909
2020,Balwyn North,459,3104,55,1,22909
2015,Beaumaris,906,3193,1,1,5408
2016,Beaumaris,907,3193,13,1,8633
2017,Beaumaris,908,3193,18,1,14305
2018,Beaumaris,909,3193,34,1,20427
2019,Beaumaris,910,3193,43,1,22909
2020,Beaumaris,911,3193,43,1,22909
2015,Bentleigh,958,3204,8,1,5408
2016,Bentleigh,959,3204,17,1,8633
2017,Bentleigh,960,3204,23,1,14305
2018,Bentleigh,961,3204,59,1,20427
2019,Bentleigh,962,3204,87,1,22909
2020,Bentleigh,963,3204,87,1,22909
2015,Bentleigh East,759,3165,6,1,5408
2016,Bentleigh East,760,3165,13,1,8633
2017,Bentleigh East,761,3165,14,1,14305
2018,Bentleigh East,762,3165,36,1,20427
2019,Bentleigh East,763,3165,50,1,22909
2020,Bentleigh East,764,3165,50,1,22909
2015,Black Rock,906,3193,1,1,5408
2016,Black Rock,907,3193,13,1,8633
2017,Black Rock,908,3193,18,1,14305
2018,Black Rock,909,3193,34,1,20427
2019,Black Rock,910,3193,43,1,22909
2020,Black Rock,911,3193,43,1,22909
2015,Braybrook,78,3019,1,1,5408
2016,Braybrook,78,3019,1,1,8633
2017,Braybrook,79,3019,3,1,14305
2018,Braybrook,80,3019,10,1,20427
2019,Braybrook,81,3019,18,1,22909
2020,Braybrook,82,3019,18,1,22909
2015,Brighton,864,3186,16,1,5408
2016,Brighton,865,3186,37,1,8633
2017,Brighton,866,3186,58,1,14305
2018,Brighton,867,3186,98,1,20427
2019,Brighton,868,3186,117,1,22909
2020,Brighton,869,3186,117,1,22909
2015,Brighton East,870,3187,9,1,5408
2016,Brighton East,871,3187,17,1,8633
2017,Brighton East,872,3187,22,1,14305
2018,Brighton East,873,3187,50,1,20427
2019,Brighton East,874,3187,61,1,22909
2020,Brighton East,875,3187,61,1,22909
2015,Brunswick,253,3056,46,1,5408
2016,Brunswick,254,3056,129,1,8633
2017,Brunswick,255,3056,179,1,14305
2018,Brunswick,256,3056,327,1,20427
2019,Brunswick,257,3056,438,1,22909
2020,Brunswick,258,3056,438,1,22909
2015,Brunswick East,259,3057,24,1,5408
2016,Brunswick East,260,3057,64,1,8633
2017,Brunswick East,261,3057,85,1,14305
2018,Brunswick East,262,3057,146,1,20427
2019,Brunswick East,263,3057,172,1,22909
2020,Brunswick East,264,3057,172,1,22909
2015,Brunswick West,247,3055,5,1,5408
2016,Brunswick West,248,3055,26,1,8633
2017,Brunswick West,249,3055,37,1,14305
2018,Brunswick West,250,3055,67,1,20427
2019,Brunswick West,251,3055,78,1,22909
2020,Brunswick West,252,3055,78,1,22909
2015,Burnley,517,3121,88,1,5408
2016,Burnley,518,3121,191,1,8633
2017,Burnley,519,3121,247,1,14305
2018,Burnley,520,3121,519,1,20427
2019,Burnley,521,3121,613,1,22909
2020,Burnley,522,3121,613,1,22909
2015,Camberwell,535,3124,11,1,5408
2016,Camberwell,536,3124,30,1,8633
2017,Camberwell,537,3124,44,1,14305
2018,Camberwell,538,3124,72,1,20427
2019,Camberwell,539,3124,96,1,22909
2020,Camberwell,540,3124,96,1,22909
2015,Canterbury,547,3126,1,1,5408
2016,Canterbury,548,3126,7,1,8633
2017,Canterbury,549,3126,8,1,14305
2018,Canterbury,550,3126,16,1,20427
2019,Canterbury,551,3126,21,1,22909
2020,Canterbury,552,3126,21,1,22909
2015,Carlton,235,3053,49,1,5408
2016,Carlton,236,3053,134,1,8633
2017,Carlton,237,3053,178,1,14305
2018,Carlton,238,3053,364,1,20427
2019,Carlton,239,3053,492,1,22909
2020,Carlton,240,3053,492,1,22909
2015,Carlton North,241,3054,8,1,5408
2016,Carlton North,242,3054,46,1,8633
2017,Carlton North,243,3054,57,1,14305
2018,Carlton North,244,3054,121,1,20427
2019,Carlton North,245,3054,145,1,22909
2020,Carlton North,246,3054,145,1,22909
2015,Carnegie,753,3163,15,1,5408
2016,Carnegie,754,3163,37,1,8633
2017,Carnegie,755,3163,52,1,14305
2018,Carnegie,756,3163,109,1,20427
2019,Carnegie,757,3163,146,1,22909
2020,Carnegie,758,3163,146,1,22909
2015,Caulfield,747,3162,9,1,5408
2016,Caulfield,748,3162,30,1,8633
2017,Caulfield,749,3162,38,1,14305
2018,Caulfield,750,3162,64,1,20427
2019,Caulfield,751,3162,77,1,22909
2020,Caulfield,752,3162,77,1,22909
2015,Caulfield East,656,3145,16,1,5408
2016,Caulfield East,657,3145,30,1,8633
2017,Caulfield East,658,3145,41,1,14305
2018,Caulfield East,659,3145,81,1,20427
2019,Caulfield East,660,3145,142,1,22909
2020,Caulfield East,661,3145,142,1,22909
2015,Caulfield North,741,3161,14,1,5408
2016,Caulfield North,742,3161,41,1,8633
2017,Caulfield North,743,3161,50,1,14305
2018,Caulfield North,744,3161,102,1,20427
2019,Caulfield North,745,3161,122,1,22909
2020,Caulfield North,746,3161,122,1,22909
2015,Caulfield South,747,3162,9,1,5408
2016,Caulfield South,748,3162,30,1,8633
2017,Caulfield South,749,3162,38,1,14305
2018,Caulfield South,750,3162,64,1,20427
2019,Caulfield South,751,3162,77,1,22909
2020,Caulfield South,752,3162,77,1,22909
2015,Clifton Hill,308,3068,55,1,5408
2016,Clifton Hill,309,3068,119,1,8633
2017,Clifton Hill,310,3068,164,1,14305
2018,Clifton Hill,311,3068,271,1,20427
2019,Clifton Hill,312,3068,310,1,22909
2020,Clifton Hill,313,3068,310,1,22909
2015,Coburg,265,3058,16,1,5408
2016,Coburg,266,3058,37,1,8633
2017,Coburg,267,3058,50,1,14305
2018,Coburg,268,3058,113,1,20427
2019,Coburg,269,3058,133,1,22909
2020,Coburg,270,3058,133,1,22909
2015,Coburg North,265,3058,16,1,5408
2016,Coburg North,266,3058,37,1,8633
2017,Coburg North,267,3058,50,1,14305
2018,Coburg North,268,3058,113,1,20427
2019,Coburg North,269,3058,133,1,22909
2020,Coburg North,270,3058,133,1,22909
2015,Collingwood,296,3066,29,1,5408
2016,Collingwood,297,3066,89,1,8633
2017,Collingwood,298,3066,110,1,14305
2018,Collingwood,299,3066,236,1,20427
